약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
13,나자식물,개비자나무,개비자나무과(Cephalotaxaceae),Cephalotaxus koreana Nakai,산골짜기나 숲에 자라는 상록관목으로 높이가 3m에 달한다. 잎은 선형이고 2열로 배열하며 끝이 급히 뾰족해지고 앞면은 녹색이며 주맥이 뚜렷하다. 꽃은 이가화로 4월에 피고 수꽃은 타원형이며 암꽃은 2개씩 한곳에 달린다. 열매는 둥글며 다음 해 8∼9월에 적색으로 익고 종자는 장타원이며 갈색이다. ☞ 큰개비자나무보다 관목으로 가지가 많고 모여나며 과실은 홍색으로 외종피가 맛이 좋고 풍미가 있다.,한국(충북이남),조비(粗榧),"종자를 가을에 채취, 가종피를 제거하여 햇볕에 말린다.","소아감적, 심위통, 요충증, 윤장, 종기, 토혈, 통경, 혈허, 해혈",(내복): 탕전(湯煎)하거나 볶아 먹는다.
14,나자식물,비자나무,주목과(Taxaceae),Torreya nucifera (L.) Siebold & Zucc.,산기슭에 자라는 상록교목으로 높이가 25m에 달하고 나무껍질은 회갈색이다. 잎은 깃처럼 배열되고 예첨두이며 주맥이 뒷면에 털이 있다. 꽃은 4월 암꽃은 한군데에 2∼3개씩 달리고 녹색 포로 싸인다. 열매는 핵과로 다음 해 9∼10월에 익으며 육질의 종의로 싸여 있다. ☞ 주목보다 잎이나 가지가 대생하고 종의는 종자를 완전히 싼다.,"한국(남부), 일본",비자(榧子),종자를 가을에 채취하여 가종피를 제거하고 햇볕에 말린다.,"건위, 구충, 기생충, 발모, 변비, 살충, 소아감적, 수종, 야뇨증, 월경이상, 윤폐지해, 장 출혈, 제충제, 조경, 조해, 치질",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. ☞ 설사하는 자는 복용을 금한다.
15,나자식물,소나무,소나무과(Pinaceae),Pinus densiflora Siebold & Zucc.,산야에 자라는 상록교목으로 높이 35m에 달하고 나무껍질은 적갈색 또는 흑갈색이며 동아는 적갈색이다. 잎은 2개씩 달리고 비틀리며 밑부분에 아린이 있고 2년 후에 떨어진다. 꽃은 5월에 피고 웅화수는 새가지 밑에 자화수는 새가지 끝에 달린다. 열매는 구과로 다음 해 9월에 익는다. ☞ 해송보다 동아가 적갈색이고 잎이 보드랍다.,"한국(전국), 중국, 일본, 러시아","송엽(松葉), 송화(松花)",잎을 가을부터 이듬해 봄까지 채취하여 그늘에서 말린다.,"간 기능회복, 강정제, 강직성척추관절염, 개선, 거풍조습, 고혈압, 골절통, 구내염, 근골동통, 근육통, 가슴막염, 당뇨병, 만성위염, 만성피로, 발모, 심장염, 야맹증, 양모발약, 연골증, 위경련, 정력증진, 중풍, 지혈, 진통, 척추질환, 치매증, 치통, 칠독, 폐결핵, 피부윤택, 해수 등","(내복): 탕전(湯煎)하거나, 가루약 또는 술을 담가 복용한다. ☞ 단독으로 많은 양을 복용하면 급성위장염이 발생할 수 있다."
41,피자식물/쌍자엽식물,닥나무,뽕나무과(Moraceae),Broussonetia kazinoki Siebold,양지바른 산기슭에 자라는 낙엽관목으로 높이가 3m에 달하고 잔가지에 잔털이 있으나 없어진다. 잎은 난상 타원형이며 점첨두이고 원저 또는 아심장저이며 톱니와 더불어 결각이 있다. 꽃은 일가화로서 6월 잎과 더불어 핀다. 열매는 둥글고 외과피는 열매꼭지와 더불어 굵어지고 육질이다. ☞ 꾸지나무보다 암수한그루이고 잎에 털이 적다.,"한국(전국), 중국, 일본, 대만",구피마(構皮麻),과실이 홍색으로 성숙했을 때에 채취하여 햇볕에 말린다.,"간열, 강근, 강장, 강장보호, 강정제, 거풍, 악창, 완화, 일체안병, 이뇨, 제습, 중풍, 진해, 타박상, 풍, 피부염, 허약체질, 활혈",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
42,피자식물/쌍자엽식물,꾸지뽕나무,뽕나무과(Moraceae),Cudrania tricuspidata (Carr.) Bureau ex Lavallee,마을 근처 야산에 자라는 낙엽소교목 또는 관목으로 가지에 가시가 있으며 잔가지에 털이 있다. 잎은 어긋나기 또는 마주나기하고 난형 또는 원형이고 끝이 꼬리처럼 길며 톱니가 있다. 꽃은 이가화로 6월에 잎과 함께 핀다. 열매는 취과로 둥글며 육질이고 적색으로 익는다. ☞ 잎짬에 가지의 변형인 가시가 있고 잎에 톱니가 없다.,"한국(황해도 이남), 중국, 일본",자목(木),목재를 가을부터 겨울까지 채취하여 햇볕에 말린다.,"강장보호, 경혈, 관절통, 완화, 요통, 이뇨, 진해, 타박상, 해열, 혈결, 활혈",(내복): 탕전(湯煎)하여 복용한다.
43,피자식물/쌍자엽식물,무화과나무,뽕나무과(Moraceae),Ficus carica L.,"식재하는 낙엽관목으로 높이 2∼4m이고 가지는 갈색 또는 녹갈색이다. 잎은 어긋나기하고 넓은 난형이며 3∼5개로 깊게 갈라지고 열편은 둔두이며 물결 같은 톱니가 있다. 꽃은 봄부터 여름에 걸쳐 잎겨드랑이에 꽃차례가 발달하며, 열매는 은화과로서 도란형이며 8∼10월에 흑자색으로 익는다. ☞ 잎이 당상으로 중∼잔열하고 집합과는 크다.","한국(남부), 아시아, 지중해",무화과(無花果),과실을 9∼10월에 채취하여 햇볕에 말린다.,"각혈, 간작반, 개선, 마른버짐, 건위청장, 구충, 살충, 소종해독, 옹종, 완화, 요통, 위암, 인후통증, 자색반병, 자양, 자양강장, 장염, 장위카타르, 종독, 주독, 지혈, 치질, 치핵, 타박상, 탈피기급, 토혈각혈, 하리, 해독, 협심증, 회충, 흉협통",(내복): 탕전(湯煎)하거나 생식한다. (외용): 물로 달여 상처 부위를 닦아내거나 가루 내어 개어 붙인다.
44,피자식물/쌍자엽식물,뽕나무,뽕나무과(Moraceae),Morus alba L.,식재되는 낙엽교목으로 높이 6∼10m이고 잔가지는 회갈색 또는 회백색으로 잔털이 있다. 잎은 장타원상 난형이며 둔두 깊은 심장저이고 가장자리에 둔한 톱니가 있다. 꽃은 6월에 피고 수꽃은 잎겨드랑이에 밑으로 처지는 미상 화서로 달린다. 열매는 집합과로서 흑색으로 익는다. ☞ 산뽕나무보다 암술대가 짧고 잎의 톱니가 둔하다.,"한국(전국), 중국, 러시아, 중앙아시아, 유럽","상엽(桑葉), 상지(桑枝), 상백피(桑白皮), 상심자(桑ㅁ子)","잎을 가을에 서리가 내린 뒤, 어린 가지는 늦은 봄과 초여름, 뿌리껍질은 겨울, 과실은 성숙한 열매를 채취하여 햇볕에 말린다.","각기, 감기, 강장보호, 갱년기장애, 거담, 고혈압, 관절통, 기관지염, 기억력감퇴, 몽정, 부종, 소아경풍, 소아천식, 수종, 신경통, 안면경련, 야뇨증, 여드름, 온풍, 요통, 월경이상, 유선염, 이명, 자양강장, 조루증, 주부습진, 중풍, 편두통, 폐결핵, 피부윤택, 환각치료",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
45,피자식물/쌍자엽식물,산뽕나무,뽕나무과(Moraceae),Morus australis Poiret,낙엽소교목으로 높이 7∼8m이고 나무껍질은 회갈색이며 잔가지에 잔털이 있다. 잎은 난형이며 가장자리에 불규칙한 톱니가 있고 뒷면 주맥 위에 털이 약간 있다. 꽃은 잡성화로 5월에 핀다. 열매는 육질로 된 꽃덮이가 합쳐져서 1개의 열매처럼 된다. ☞ 뽕나무보다 암술대가 씨방보다 길고 톱니가 예리하다.,"한국(전국), 중국, 일본, 러시아","상엽(桑葉), 상지(桑枝), 상백피(桑白皮), 상심자(桑子)","잎을 가을에 서리가 내린 뒤, 어린 가지는 늦은 봄과 초여름, 뿌리껍질은 겨울, 과실은 성숙한 열매를 채취하여 햇볕에 말린다.","각기, 감기, 강심제, 거풍습, 경풍, 고혈압, 곽란, 몽정, 발한, 부종, 사독, 소아감적, 소아경풍, 수종, 신경통, 오림, 이뇨, 중풍, 진정, 진해, 창종, 조충, 충독, 토혈각혈, 폐결핵, 폐기천식, 폐렴, 해열, 활혈",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다.
46,피자식물/쌍자엽식물,삼,삼과(Cannabaceae),Cannabis sativa L.,재배하는 일년초로 높이 1∼2.5m이고 곧추 자라며 둔한 사각형이고 잔털이 있으며 녹색이다. 잎은 밑에서부터 마주나기하고 잎자루가 길며 5∼9개로 갈라진 손꼴겹잎이다. 꽃은 이가화로 7∼8월 연녹색으로 핀다. 열매는 수과로 약간 편평한 난상 원형이며 딱딱하고 회색이다.,"한국(전국), 중앙아시아",마자인(麻子仁),과실(종인)이 성숙하면 전체를 베어 말린 후 털어 채취한다.,"강정제, 개선, 건망증, 건위, 고미, 광견병, 구토, 기억력감퇴, 난산, 당뇨, 대하증, 변비, 사태, 살충, 설사, 안태, 양모발약, 완화, 요통, 월경이상, 위장염, 유즙결핍, 윤장, 이뇨, 종독, 주부습진, 진정, 진통, 최면제, 타박상, 타복, 탈피기급, 통리수도, 통유, 해수, 활혈 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 기름으로 짜서 바른다.
47,피자식물/쌍자엽식물,환삼덩굴,삼과(Cannabaceae),Humulus japonicus Siebold & Zucc.,들이나 산기슭에 자라는 일년초로 원줄기와 잎자루에 밑을 향한 잔가시가 있어 거칠다. 잎은 마주나기 하며 긴 잎자루 끝에서 손바닥 모양으로 5∼7개로 갈라지고 심장저이다. 꽃은 이가화로 7∼8월 원추 꽃차례에 달린다. 열매는 수과로 난상 원형이며 중앙부위가 부풀어 오른다. ☞ 호프보다 잎이 3∼7개로 깊이 장상으로 갈라진다.,"한국(전국), 중국, 일본, 러시아, 대만",율초(ㅁ草,전초를 여름부터 가을까지 채취하여 햇볕에 말린다.,"감기, 건위, 관격, 나창, 오림, 옹종, 위암, 이뇨, 림프절염, 진정, 청혈해독, 치질, 치핵, 퇴허열, 파상풍, 폐결핵, 폐렴, 폐혈, 하리, 학질",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다. (외용): 짓찧어서 상처 부위에 붙이거나 물로 달여 닦아낸다.
66,피자식물/쌍자엽식물,댑싸리,명아주과(Chenopodiaceae),Kochia scoparia (L.) Schrad.,들에 자라는 1년초로 높이가 1m에 달하고 곧추 자라며 가지가 많이 갈라진다. 잎은 어긋나기하고 피침형으로 양 끝이 좁고 가장자리가 밋밋하며 3맥이 있다. 꽃은 7∼8월 잎겨드랑이에 몇 개씩 달린다. 열매는 포과로 원반형으로 끝에 암술대가 달리고 그 속에 종자가 1개 들어있다. ☞ 좀명아주보다 키가 크고 잎에 불규칙한 톱니가 있다.,"한국(전국), 아시아, 유럽, 북아메리카",지부자(地膚子),가을철 과실성숙기에 전주를 베어 햇볕에 말려 수집한다.,"강장, 개선, 과실식체, 과실중독, 난관난소염, 대하, 동통, 명목, 목통, 보약, 수은중독, 악창, 유선염, 음낭습, 음부소양, 발기불능, 이뇨, 이소변, 임질, 적리, 적백리, 전립선비대증, 종독, 청습열, 통리수도, 흉통","(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙이거나, 물로 달여 상처 부위를 닦아낸다."
67,피자식물/쌍자엽식물,쇠무릎,비름과(Amaranthaceae),Achyranthes japonica (Miq.) Nakai,산야에 자라는 다년초로 높이 50∼100㎝이며 원줄기는 네모지고 가지가 많이 갈라진다. 잎은 마주나기 하며 타원형 또는 도란형이고 양 끝이 좁으며 털이 약간 있다. 꽃은 8∼9월 잎겨드랑이와 가지 끝에 수상화서로 달린다. 열매는 포과로 꽃받침에 싸여있고 종자는 황록색이다. ☞ 비름속에 비해 마주나기하고 꽃은 과시(果時)에 반곡(反曲)한다.,"한국(중남부), 중국, 일본, 대만, 히말라야",우슬(牛膝),뿌리의 겨울에 채취하여 햇볕에 말린다.,"간혈파행증, 강근골, 강장제, 강직성척추관절염, 견비통, 골다공증, 보익, 부인하혈, 사태, 소아경결, 소아야뇨증, 요결석, 신경통, 음부소양, 임신중요통, 자궁수축, 전립선비대증, 정력증진, 중추신경장애, 중풍, 치조농루, 편도선염, 피부궤양, 허리디스크, 혈뇨, 혈우병 등",(내복): 탕전(湯煎)하거나 환제 또는 가루약으로 복용한다. (외용): 고(膏)를 만들어 붙인다. ☞ 임산부에게는 낙태의 위험이 있다.
68,피자식물/쌍자엽식물,맨드라미,비름과(Amaranthaceae),Celosia cristata L.,관상용으로 심는 일년초로 높이가 90㎝에 달하며 곧추 자라고 털이 없다. 잎은 어긋나기하고 잎자루가 길며 난형 또는 난상 피침형이고 끝이 뾰족하며 예저이다. 꽃은 홍색·황색·백색으로 7∼8월 대가 없이 잔꽃이 밀생한다. 열매는 개과로 꽃받침으로 싸여 있으며 3∼5개의 검은 종자가 들어있다.  ☞ 개맨드라미보다 꽃자루가 평평하며 화서의 상단이 벼슬모양으로 된다.,"한국(전국), 열대아시아",계관화(鷄冠花),꽃차례가 충분히 성숙한 때 꽃차례를 절단하여 햇볕에 말린다.,"각혈, 개선, 거담, 구토, 대하, 부인하혈, 설사, 요결석, 요혈, 월경이상, 이완출혈, 임신중독증, 임질, 자궁내막염, 자궁암, 자궁염, 적백리, 제출혈, 조경, 지혈, 치루 하혈, 치루, 치통, 치풍, 치핵, 타박상, 탈항, 토혈각혈, 풍, 피부병, 피부소양증, 하리, 해수, 해열, 혈뇨",(내복): 탕전(湯煎)하거나 가루약 또는 환제로 복용한다.
69,피자식물/쌍자엽식물,자리공,자리공과(Phytolaccaceae),Phytolacca esculenta Van Houtte,다년초로 높이가 1m에 달하며 전체에 털이 없고 뿌리가 크게 굵어진다. 잎은 어긋나기하고 피침형으로 양 끝이 좁고 가장자리가 밋밋하다. 꽃은 백색으로 5∼6월 총상 화서로 달리고 꽃차례는 잎과 마주나기 한다. 열매는 장과로 8개의 분과가 서로 인접하여 윤상으로 나열되고 검은 종자가 1개씩 들어 있다.  ☞ 섬자리공보다 전체가 소형이고 꽃차례에 유두상 잔돌기가 없다.,"한국(전국), 중국",상륙(商陸),뿌리를 가을부터 봄에 채취하여 햇볕에 말린다.,"각기, 다망증, 소종산결, 수종, 신장염, 옹종, 이뇨, 이뇨투수, 인후통증, 전립선비대증, 포징, 표저, 하리, 항문주위농양, 해열",(내복): 탕전(湯煎)하여 복용한다. (외용) 짓찧어 상처 부위에 붙인다.
70,피자식물/쌍자엽식물,쇠비름,쇠비름과(Portulacaceae),Portulaca oleracea L.,길가나 밭에 자라는 일년초로 높이가 30㎝에 달하며 육질이고 털이 없으며 갈적색이고 뿌리는 백색이다. 잎은 도란형이며 원두이고 밑부분이 좁아지고 가장자리가 밋밋하다. 꽃은 황색으로 6월부터 가을까지 계속 핀다. 열매는 개과로 타원형이고 종자는 검은빛이 돈다.,"한국(전국), 전 세계의 온대∼열대",마치현(馬齒ㅁ),전초를 여름부터 가을에 채취하여 살짝 데쳐 햇볕에 말린다.,"각기, 관절염, 명목, 사독, 소아감적, 시력감퇴, 양혈, 열독증, 옹종, 요도염, 월경이상, 윤피부, 음양음창, 이뇨, 이완출혈, 이질, 림프절염, 저혈압, 부기, 지갈, 지혈, 청열해독, 치핵, 통리수도, 통림, 투진, 편도선염, 폐열, 풍열, 피부병, 해독, 해열, 혈뇨, 활혈, 흉부냉증 등",(내복): 탕전(湯煎)하거나 갈즙하여 복용한다. (외용) 짓찧어 붙이거나 가루 내어 개어 붙이거나 수전(水煎)한 후 씻는다. ☞ 비위가 허해서 설사하는 자는 사용을 금한다.
71,피자식물/쌍자엽식물,채송화,쇠비름과(Portulacaceae),Portulaca grandiflora Hook.,관상용으로 심는 일년초로 높이가 20㎝에 달하고 가지가 많이 갈라지며 붉은빛이 돈다. 잎은 어긋나기하고 육질이며 원기둥꼴이고 끝이 둔하며 잎겨드랑이에 흰털이 속생한다. 꽃은 자주색으로 7∼10월에 가지 끝에 1∼2개 달리고 밤에는 오므라든다. 열매는 튀는열매로 막질이며 수평으로 갈라져 많은 종자가 나온다.,"한국(전국), 남아메리카",반지련(半支蓮),전초를 7∼9월경에 채취하여 햇볕에 말린다.,"각기, 나력, 마교, 살충, 생목, 습창, 이병, 이질, 인후종통, 종독, 부기, 지갈, 창종, 청열해독, 조충, 타박상, 해독, 해열, 혈리, 화상",(외용) 즙을 내어 상처 부위에 바르거나 짓찧어 붙인다.
